name,years,rating,image_url,description,url
34. Boruto: Naruto Next Generations,2017–2023,6.5,"https://m.media-amazon.com/images/M/MV5BYjM0MDRkYzctMTNhMS00ODYwLTgwMWItZDYxNDlhOGY1YjRlXkEyXkFqcGdeQXVyMzExMzk5MTQ@._V1_QL75_UY207_CR3,0,140,207_.jpg","Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.",https://www.imdb.com//title/tt6342474/?ref_=sr_t_34
35. Perfect Blue,1997,8.0,"https://m.media-amazon.com/images/M/MV5BMmMzOWNhNTYtYmY0My00OGJiLWIzNDUtZWRhNGY0NWFjNzFmXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_QL75_UX140_CR0,0,140,207_.jpg","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",https://www.imdb.com//title/tt0156887/?ref_=sr_t_35
36. Akira,1988,8.0,"https://m.media-amazon.com/images/M/MV5BNjFmNWYzZjMtYWIyZi00NDVmLWIxY2EtN2RiMjZiMDk4MzcyXkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_QL75_UY207_CR3,0,140,207_.jpg","A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",https://www.imdb.com//title/tt0094625/?ref_=sr_t_36
37. Haikyu!!,2014–2020,8.7,"https://m.media-amazon.com/images/M/MV5BNjkyNDI2MTgtN2Y3NS00M2RjLWJhNDMtMmNmZmUwMDQwZTE1XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",https://www.imdb.com//title/tt3398540/?ref_=sr_t_37
38. Neon Genesis Evangelion: The End of Evangelion,1997,8.1,"https://m.media-amazon.com/images/M/MV5BMjU0MzQwMmMtMWU3OS00MDc0LWIzOTItZmE1MjZlYmExMGJiXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,https://www.imdb.com//title/tt0169858/?ref_=sr_t_38
39. Gintama,2005–2021,8.7,"https://m.media-amazon.com/images/M/MV5BMDhmNjUxM2UtZTY2Zi00OTQ0LWExNjgtNDhkNTUyMjQ3MmU5XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",https://www.imdb.com//title/tt0988818/?ref_=sr_t_39
40. A Silent Voice: The Movie,2016,8.1,"https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR2,0,140,207_.jpg","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",https://www.imdb.com//title/tt5323662/?ref_=sr_t_40
41. Tokyo Revengers,2021–,7.9,"https://m.media-amazon.com/images/M/MV5BMTdmYmVlODktNWM0Yi00NDNlLWJhMjQtMzg1MzVhYzU1N2IwXkEyXkFqcGdeQXVyMTcxNDcyNDA4._V1_QL75_UY207_CR13,0,140,207_.jpg","Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.",https://www.imdb.com//title/tt13196080/?ref_=sr_t_41
42. Code Geass,2006–2008,8.7,"https://m.media-amazon.com/images/M/MV5BYzZjY2MzYTAtMmQxMi00MWVjLTlkZGQtYjJmNWVhODY3YjdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",https://www.imdb.com//title/tt0994314/?ref_=sr_t_42
43. The Eminence in Shadow,2022–2023,7.9,"https://m.media-amazon.com/images/M/MV5BMGU1NzE1Y2UtZmZkOC00ODQ4LTkwNDAtNmE4Yzk3NTA4MThlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY207_CR3,0,140,207_.jpg","Cid Kagenou creates an elaborate plot to fight the Cult of Diabolos and builds his organization, the Shadow Garden.",https://www.imdb.com//title/tt14115938/?ref_=sr_t_43
44. Ghost in the Shell,1995,7.9,"https://m.media-amazon.com/images/M/MV5BYWRiYjQyOGItNzQ1Mi00MGI1LWE3NjItNTg1ZDQwNjUwNDM2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,https://www.imdb.com//title/tt0113568/?ref_=sr_t_44
45. Mob Psycho 100,2016–2022,8.6,"https://m.media-amazon.com/images/M/MV5BYWIwZjhkMzgtOWExYi00ZGIwLTg1ZTktNjQyZWIxYWFmZTc0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",https://www.imdb.com//title/tt5897304/?ref_=sr_t_45
46. The Wind Rises,2013,7.8,"https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_QL75_UX140_CR0,0,140,207_.jpg","Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes.",https://www.imdb.com//title/tt2013293/?ref_=sr_t_46
47. Steins;Gate,2011–2015,8.8,"https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_QL75_UX140_CR0,1,140,207_.jpg","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",https://www.imdb.com//title/tt1910272/?ref_=sr_t_47
48. Nausicaä of the Valley of the Wind,1984,8.0,"https://m.media-amazon.com/images/M/MV5BZTI3NmJmYTQtNDg4NS00M2VlLTgzZDAtZWIwZDcyOWY5YzIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,1,140,207_.jpg",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,https://www.imdb.com//title/tt0087544/?ref_=sr_t_48
49. A Sign of Affection,2024–,7.8,"https://m.media-amazon.com/images/M/MV5BMmIxNWFjYzgtM2NkMy00NTdkLWE4ZTEtMmY3NzU2MjA5MjAxXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,1,140,207_.jpg","When Yuki meets a handsome stranger who helps her out on the train, what sort of relationship will bloom? Could this be something real? Or will these feelings melt away with the snow?",https://www.imdb.com//title/tt30024091/?ref_=sr_t_49
50. The Seven Deadly Sins,2014–2021,7.8,"https://m.media-amazon.com/images/M/MV5BNmIzNTEwMGQtODE1YS00ZWNmLTg1YWUtYTg5YzQ5NTc0YzBjXkEyXkFqcGdeQXVyMTA0MDYyNzA0._V1_QL75_UY207_CR3,0,140,207_.jpg","The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves.",https://www.imdb.com//title/tt3909224/?ref_=sr_t_50
